Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1644778839.655	 20483.230	0	1528296709	0	0	extract ../data/batch01/pool04-group04/03-calls/182.bcf ../data/batch01/pool04-group04/04-extract/182.csv
6	:	1644778875.352	 21221.474	0	1523316882	0	0	extract ../data/batch01/pool02-group01/03-calls/125.bcf ../data/batch01/pool02-group01/04-extract/125.csv
1	:	1644778824.330	 22485.562	0	1537800119	0	0	extract ../data/batch01/pool04-group04/03-calls/183.bcf ../data/batch01/pool04-group04/04-extract/183.csv
2	:	1644778832.394	 22974.392	0	1541560860	0	0	extract ../data/batch01/pool04-group04/03-calls/184.bcf ../data/batch01/pool04-group04/04-extract/184.csv
4	:	1644778847.658	 23428.760	0	1538053415	0	0	extract ../data/batch01/pool04-group04/03-calls/181.bcf ../data/batch01/pool04-group04/04-extract/181.csv
5	:	1644778859.058	 23848.942	0	1528726955	0	0	extract ../data/batch01/pool04-group04/03-calls/180.bcf ../data/batch01/pool04-group04/04-extract/180.csv
7	:	1644778891.392	 24271.884	0	1529564875	0	0	extract ../data/batch01/pool02-group01/03-calls/124.bcf ../data/batch01/pool02-group01/04-extract/124.csv
8	:	1644778912.230	 24734.417	0	1534645099	0	0	extract ../data/batch01/pool02-group01/03-calls/127.bcf ../data/batch01/pool02-group01/04-extract/127.csv
9	:	1644778930.925	 25693.578	0	1525439599	0	0	extract ../data/batch01/pool02-group01/03-calls/126.bcf ../data/batch01/pool02-group01/04-extract/126.csv
10	:	1644778947.630	 26218.916	0	1527726197	0	0	extract ../data/batch01/pool02-group01/03-calls/128.bcf ../data/batch01/pool02-group01/04-extract/128.csv
11	:	1644778979.028	 26629.363	0	1529037931	0	0	extract ../data/batch01/pool03-group02/03-calls/152.bcf ../data/batch01/pool03-group02/04-extract/152.csv
12	:	1644778999.519	 27076.361	0	1530074636	0	0	extract ../data/batch01/pool03-group02/03-calls/153.bcf ../data/batch01/pool03-group02/04-extract/153.csv
13	:	1644779002.115	 27526.503	0	1530172607	0	0	extract ../data/batch01/pool03-group02/03-calls/149.bcf ../data/batch01/pool03-group02/04-extract/149.csv
14	:	1644779002.336	 27997.229	0	1544772646	0	0	extract ../data/batch01/pool04-group03/03-calls/175.bcf ../data/batch01/pool04-group03/04-extract/175.csv
15	:	1644779002.573	 28474.503	0	1523185062	0	0	extract ../data/batch01/pool04-group03/03-calls/177.bcf ../data/batch01/pool04-group03/04-extract/177.csv
16	:	1644779002.859	 29604.963	0	1527468620	0	0	extract ../data/batch01/pool04-group03/03-calls/179.bcf ../data/batch01/pool04-group03/04-extract/179.csv
17	:	1644779004.568	 30334.826	0	1530256617	0	0	extract ../data/batch01/pool04-group03/03-calls/178.bcf ../data/batch01/pool04-group03/04-extract/178.csv
18	:	1644779004.724	 31151.828	0	1536896009	0	0	extract ../data/batch01/pool04-group03/03-calls/176.bcf ../data/batch01/pool04-group03/04-extract/176.csv
19	:	1644779004.889	 31944.085	0	1533093233	0	0	extract ../data/batch01/pool02-group02/03-calls/133.bcf ../data/batch01/pool02-group02/04-extract/133.csv
20	:	1644779005.096	 32856.713	0	1536944829	0	0	extract ../data/batch01/pool02-group02/03-calls/132.bcf ../data/batch01/pool02-group02/04-extract/132.csv
21	:	1644779005.516	 33382.032	0	1536482871	0	0	extract ../data/batch01/pool02-group02/03-calls/129.bcf ../data/batch01/pool02-group02/04-extract/129.csv
22	:	1644779005.759	 33876.678	0	1532113547	0	0	extract ../data/batch01/pool02-group02/03-calls/131.bcf ../data/batch01/pool02-group02/04-extract/131.csv
23	:	1644779006.086	 34456.726	0	1526335993	0	0	extract ../data/batch01/pool02-group02/03-calls/130.bcf ../data/batch01/pool02-group02/04-extract/130.csv
24	:	1644779006.528	 34911.343	0	1529653172	0	0	extract ../data/batch01/pool01-group03/03-calls/112.bcf ../data/batch01/pool01-group03/04-extract/112.csv
